BuildingName	Type	StreetAddress	City	State	Country	ZIP	YearBuilt
Brooks House	residential	101 So. Division St.	Northfield	MN	USA	55057	2001
Burton Hall	residential	117 College St. No.	Northfield	MN	USA	55057	1916
Cassat Hall	residential	139 N. Maple St.	Northfield	MN	USA	55057	2009
Chaney House	residential	115 Maple & 701 E. 2nd St.	Northfield	MN	USA	55057	1900
Clader House	residential	209 E. 2nd St.	Northfield	MN	USA	55057	1900
Collier House	residential	105 S. Division St.	Northfield	MN	USA	55057	2001
Colwell House	residential	111 S. Division St.	Northfield	MN	USA	55057	2001
Dacie Moses House	residential	110 Union St.	Northfield	MN	USA	55057	1900
Davis Hall	residential	104 Union St. No.	Northfield	MN	USA	55057	1923
Dixon House	residential	107 S. Division St.	Northfield	MN	USA	55057	2001
Douglas House	residential	401 E. 3rd St.	Northfield	MN	USA	55057	1950
Dow House	residential	109 S. Division St.	Northfield	MN	USA	55057	1935
Eugster House	residential	110 N. Division St.	Northfield	MN	USA	55057	2001
Evans Hall	residential	715 Evans Drive	Northfield	MN	USA	55057	1927
Faculty Club 	residential	717 - 721 2nd St. East	Northfield	MN	USA	55057	1900
Faculty Club Annex	residential	715 2nd St. East	Northfield	MN	USA	55057	1926
Farm House	residential	R.R. # 2 (E. Highway #19)	Northfield	MN	USA	55057	1919
Geffert House	residential	112 S. Division St.	Northfield	MN	USA	55057	1920
Goodhue Hall	residential	706 Three Oaks Drive	Northfield	MN	USA	55057	1963
Hall House	residential	210-212 E. 1st St.	Northfield	MN	USA	55057	1920
Headley Cottage	residential	810 E. 2nd St.	Northfield	MN	USA	55057	1900
Headley House	residential	815 E. 2nd St.	Northfield	MN	USA	55057	1900
Hill House	residential	205 College St.	Northfield	MN	USA	55057	1900
Hilton House	residential	116 S. Division St.	Northfield	MN	USA	55057	1900
Hunt Cottage	residential	106 Union St.	Northfield	MN	USA	55057	1900
Hunt House	residential	201 2nd St.	Northfield	MN	USA	55057	2001
Huntington House	residential	119 College St.	Northfield	MN	USA	55057	1900
Jewett House	residential	216 Union St.	Northfield	MN	USA	55057	1900
Jones House	residential	314 E. 2nd St.	Northfield	MN	USA	55057	1920
Memorial Hall	residential	140 N. Nevada St.	Northfield	MN	USA	55057	2009
Musser Hall	residential	103 Union St.	Northfield	MN	USA	55057	1958
Myers Hall	residential	200 Maple St. No.	Northfield	MN	USA	55057	1958
Nason House	residential	209 First St.	Northfield	MN	USA	55057	2001
Nourse Hall	residential	110 Nourse Lane	Northfield	MN	USA	55057	1917
Nutting House	residential	217 Union St.	Northfield	MN	USA	55057	1890
Olin House	residential	7950 Stanton Blvd.	Northfield	MN	USA	55057	1900
Owens House	residential	103 So. Division St.	Northfield	MN	USA	55057	2001
Page House	residential	218 College St.	Northfield	MN	USA	55057	1920
Parish House	residential	419 E. 3rd St.	Northfield	MN	USA	55057	1914
Parr House	residential	700 Three Oaks Drive	Northfield	MN	USA	55057	1919
Pollock House	residential	110 Winona St.	Northfield	MN	USA	55057	1920
Prentice House	residential	107 N. Division St.	Northfield	MN	USA	55057	1921
Rayment House	residential	510 E. 4th St.	Northfield	MN	USA	55057	1900
Rice House	residential	208 College St.	Northfield	MN	USA	55057	1920
Rogers House	residential	805 E. 2nd St.	Northfield	MN	USA	55057	1900
Ryberg House	residential	304 E. 2nd St.	Northfield	MN	USA	55057	1952
Scott House	residential	106 N. Division St.	Northfield	MN	USA	55057	2001
Seccombe House	residential	111-113 Nevada St.	Northfield	MN	USA	55057	1900
Severance Hall	residential	205 College St. No.	Northfield	MN	USA	55057	1928
Sperry House	residential	107-109 Nevada St.	Northfield	MN	USA	55057	1900
Stimson House	residential	300 E. 1st St.	Northfield	MN	USA	55057	1938
Watson Hall	residential	103 Maple St. So.	Northfield	MN	USA	55057	1967
Whittier House	residential	514 E. 2nd St.	Northfield	MN	USA	55057	1910
Williams House	residential	109 Union St.	Northfield	MN	USA	55057	1917
Wilson House	residential	115 N. Division St.	Northfield	MN	USA	55057	1928
Grounds Building	other	715 Three Oaks Drive	Northfield	MN	USA	55057	1998
College Warehouse	other	609 Three Oaks Drive	Northfield	MN	USA	55057	1999
College Storage Garage	other	711 Three Oaks Drive	Northfield	MN	USA	55057	2002
Prairie Warehouse	other	514 Prairie St.	Northfield	MN	USA	55057	1950
Stawbale Warehouse	other	615 Three Oaks Drive	Northfield	MN	USA	55057	2005
