Day,Month,Year,DomWater,MakeUpWater,LoopWater,TowerWater,Remainder
1,6,2001,138125,1770,0,0,136355
2,6,2001,168095,1810,0,0,166285
3,6,2001,135108,1740,0,0,133368
4,6,2001,160069,1940,0,0,158129
5,6,2001,84989,1770,0,0,83219
6,6,2001,112048,1740,0,0,110308
7,6,2001,85358,1840,10,0,83508
8,6,2001,121543,2240,20,0,119283
9,6,2001,105558,2320,0,0,103238
10,6,2001,57225,2260,10,0,54955
11,6,2001,89904,2340,10,0,87554
12,6,2001,65996,2780,80,0,63136
13,6,2001,87835,2450,2690,0,82695
14,6,2001,105708,2260,190,0,103258
15,6,2001,178547,1920,0,0,176627
16,6,2001,146331,2040,20,0,144271
17,6,2001,107947,2110,0,0,105837
18,6,2001,81483,2130,10,0,79343
19,6,2001,117405,1920,10,0,115475
20,6,2001,124133,2040,0,0,122093
21,6,2001,114969,1110,10,0,113849
22,6,2001,79221,1070,20,0,78131
23,6,2001,69249,1320,0,0,67929
24,6,2001,62231,1400,30,0,60801
25,6,2001,113968,1370,10,0,112588
26,6,2001,116814,1400,0,0,115414
27,6,2001,125621,1430,20,0,124171
28,6,2001,108414,1450,0,0,106964
29,6,2001,134378,1410,10,0,132958
30,6,2001,92745,2070,10,0,90665
1,7,2001,55913,1760,0,0,54153
2,7,2001,81777,970,0,0,80807
3,7,2001,110753,1080,0,0,109673
4,7,2001,81116,2640,10,0,78466
5,7,2001,102118,2480,0,0,99638
6,7,2001,115095,2580,10,0,112505
7,7,2001,84610,2800,10,0,81800
8,7,2001,70066,1980,0,0,68086
9,7,2001,147549,2440,0,0,145109
10,7,2001,210799,2230,0,0,208569
11,7,2001,131196,1990,0,0,129206
12,7,2001,150867,2430,0,0,148437
13,7,2001,152134,2080,10,0,150044
14,7,2001,71929,3000,0,0,68929
15,7,2001,104074,2590,0,0,101484
16,7,2001,142525,2180,0,0,140345
17,7,2001,138215,2690,20,0,135505
18,7,2001,145602,2310,10,0,143282
19,7,2001,135917,2130,0,0,133787
20,7,2001,172014,2470,0,0,169544
21,7,2001,110291,2490,0,0,107801
22,7,2001,61457,2280,0,0,59177
23,7,2001,119038,2510,0,0,116528
24,7,2001,116887,2210,10,0,114667
25,7,2001,108217,1950,0,0,106267
26,7,2001,114653,2030,10,0,112613
27,7,2001,95580,2160,0,0,93420
28,7,2001,86230,1980,10,0,84240
29,7,2001,92978,2200,0,0,90778
30,7,2001,78273,2160,0,0,76113
31,7,2001,122616,1810,130,0,120676
1,8,2001,86082,1640,200,0,84242
2,8,2001,128933,2930,0,0,126003
3,8,2001,102156,2660,0,0,99496
4,8,2001,86668,2800,0,0,83868
5,8,2001,94489,2780,0,0,91709
6,8,2001,127128,3480,0,0,123648
7,8,2001,148443,2920,20,0,145503
8,8,2001,151935,2630,0,0,149305
9,8,2001,120578,2160,0,0,118418
10,8,2001,98439,2420,0,0,96019
11,8,2001,152840,3280,0,0,149560
12,8,2001,66652,0,0,0,66652
13,8,2001,85311,0,0,0,85311
14,8,2001,70248,0,0,0,70248
15,8,2001,24944,0,0,0,24944
16,8,2001,54673,0,0,0,54673
17,8,2001,67963,3010,10,0,64943
18,8,2001,32940,1750,0,0,31190
19,8,2001,72201,2160,0,0,70041
20,8,2001,68143,2280,10,0,65853
21,8,2001, city ,2670,0,0,-2670
22,8,2001,0,2140,0,0,-2140
23,8,2001,0,2300,0,0,-2300
24,8,2001,0,2360,10,0,-2370
25,8,2001,0,2230,0,0,-2230
26,8,2001,0,1700,0,0,-1700
27,8,2001,0,1300,0,0,-1300
28,8,2001,0,1410,0,0,-1410
29,8,2001,0,1110,0,0,-1110
30,8,2001,0,5280,10,0,-5290
31,8,2001,0,1700,0,0,-1700
1,9,2001, city ,3060,0,0,-3060
2,9,2001, ,2500,0,0,-2500
3,9,2001, ,2030,10,0,-2040
4,9,2001,,1990,0,0,-1990
5,9,2001, ,1990,0,0,-1990
6,9,2001,148894,1950,0,0,146944
7,9,2001,150427,1940,10,0,148477
8,9,2001,161302,2010,0,0,159292
9,9,2001,131337,1870,0,0,129467
10,9,2001,185729,1940,0,0,183789
11,9,2001,182737,1870,0,0,180867
12,9,2001,167228,1880,10,0,165338
13,9,2001,215344,1890,0,0,213454
14,9,2001,155568,1940,10,0,153618
15,9,2001,154231,1870,0,0,152361
16,9,2001,137938,1800,0,0,136138
17,9,2001,143464,1790,0,0,141674
18,9,2001,165921,1810,0,0,164111
19,9,2001,163619,1890,10,0,161719
20,9,2001,202053,2100,0,0,199953
21,9,2001,175328,1620,0,0,173708
22,9,2001,156680,1740,0,0,154940
23,9,2001,88385,1830,0,0,86555
24,9,2001,162294,2320,20,0,159954
25,9,2001,159803,2310,0,0,157493
26,9,2001,177720,1300,30,0,176390
27,9,2001,163899,2820,10,0,161069
28,9,2001,163520,2670,20,0,160830
29,9,2001,139728,2550,10,0,137168
30,9,2001,145261,2330,0,0,142931
1,10,2001,145261,2410,0,0,142851
2,10,2001,181100,2330,30,0,178740
3,10,2001,180122,2610,160,0,177352
4,10,2001,171562,2880,10,0,168672
5,10,2001,208264,3480,170,0,204614
6,10,2001,135822,3930,10,0,131882
7,10,2001,148285,3670,10,0,144605
8,10,2001,149961,3350,10,0,146601
9,10,2001,168283,2700,20,0,165563
10,10,2001,179050,2510,10,0,176530
11,10,2001,137546,2470,20,0,135056
12,10,2001,182241,2490,20,0,179731
13,10,2001,122074,2440,30,0,119604
14,10,2001,136636,2480,20,0,134136
15,10,2001,141445,2810,40,0,138595
16,10,2001,160406,2790,20,0,157596
17,10,2001,156077,3320,40,0,152717
18,10,2001,149060,3170,10,0,145880
19,10,2001,154738,3110,30,0,151598
20,10,2001,137933,3050,30,0,134853
21,10,2001,142821,2730,30,0,140061
22,10,2001,147729,2840,40,0,144849
23,10,2001,166706,2920,40,0,163746
24,10,2001,147964,3110,70,0,144784
25,10,2001,144145,3350,30,0,140765
26,10,2001,138837,3080,50,0,135707
27,10,2001,130755,2860,40,0,127855
28,10,2001,124630,2730,60,0,121840
29,10,2001,155078,3360,40,0,151678
30,10,2001,141416,3290,70,0,138056
31,10,2001,166198,2500,40,0,163658
1,11,2001,141516,2620,50,0,138846
2,11,2001,171185,3120,40,0,168025
3,11,2001,122554,2730,10,0,119814
4,11,2001,121184,3060,20,0,118104
5,11,2001,157523,2850,10,0,154663
6,11,2001,158912,2830,40,0,156042
7,11,2001,165504,2680,20,0,162804
8,11,2001,167946,3590,40,0,164316
9,11,2001,137387,3120,30,0,134237
10,11,2001,120244,3000,20,0,117224
11,11,2001,129703,2660,50,0,126993
12,11,2001,170205,2620,80,0,167505
13,11,2001,146949,2160,60,0,144729
14,11,2001,161500,1790,60,0,159650
15,11,2001,139400,1710,80,0,137610
16,11,2001,139280,1820,90,0,137370
17,11,2001,148936,1600,90,0,147246
18,11,2001,105210,1910,60,0,103240
19,11,2001,139788,2890,80,0,136818
20,11,2001,30518,2120,90,0,28308
21,11,2001,27816,1860,80,0,25876
22,11,2001,38790,1590,90,0,37110
23,11,2001,28160,1520,80,0,26560
24,11,2001,31796,1260,90,0,30446
25,11,2001,51670,2970,100,0,48600
26,11,2001,35191,3340,80,0,31771
27,11,2001,53215,2520,100,0,50595
28,11,2001,48053,1030,80,0,46943
29,11,2001,21747,1530,100,0,20117
30,11,2001,44129,3170,80,0,40879
1,12,2001,34233,2690,110,0,31433
2,12,2001,32432,1630,80,0,30722
3,12,2001,33391,1500,90,0,31801
4,12,2001,43829,960,100,0,42769
5,12,2001,22672,1190,110,0,21372
6,12,2001,47193,1460,140,0,45593
7,12,2001,49403,2230,110,0,47063
8,12,2001,35486,1950,90,0,33446
9,12,2001,36187,1280,100,0,34807
10,12,2001,33496,1570,110,0,31816
11,12,2001,27640,2460,130,0,25050
12,12,2001,40656,1550,120,0,38986
13,12,2001,50416,1790,150,0,48476
14,12,2001,31615,2220,80,0,29315
15,12,2001,34007,2220,140,0,31647
16,12,2001,24639,1260,50,0,23329
17,12,2001,37583,1230,200,0,36153
18,12,2001,35946,2040,230,0,33676
19,12,2001,39006,2170,130,0,36706
20,12,2001,171069,2240,80,0,168749
21,12,2001,133932,4500,90,0,129342
22,12,2001,32151,3610,80,0,28461
23,12,2001,33418,2360,90,0,30968
24,12,2001,15697,2510,110,0,13077
25,12,2001,25040,2600,90,0,22350
26,12,2001,53264,3740,110,0,49414
27,12,2001,44097,3470,110,0,40517
28,12,2001,39237,3190,210,0,35837
29,12,2001,20455,3320,120,0,17015
30,12,2001,33104,3540,210,0,29354
31,12,2001,49367,3160,220,0,45987
1,1,2002,38153,3030,230,0,34893
2,1,2002,106511,4090,250,0,102171
3,1,2002,144676,4590,250,0,139836
4,1,2002,144540,4850,250,0,139440
5,1,2002,119491,4240,260,0,114991
6,1,2002,117902,5630,220,0,112052
7,1,2002,171799,6040,290,0,165469
8,1,2002,161073,4360,250,0,156463
9,1,2002,142414,3570,230,0,138614
10,1,2002,172613,4370,200,0,168043
11,1,2002,161122,4270,190,0,156662
12,1,2002,143858,4220,190,0,139448
13,1,2002,146446,4760,200,0,141486
14,1,2002,159641,4660,220,0,154761
15,1,2002,156612,4950,240,0,151422
16,1,2002,164941,5660,150,0,159131
17,1,2002,164278,6380,190,0,157708
18,1,2002,193029,7480,200,0,185349
19,1,2002,145096,5610,200,0,139286
20,1,2002,125900,5090,220,0,120590
21,1,2002,168856,4990,210,0,163656
22,1,2002,175111,3930,230,0,170951
23,1,2002,148372,4270,230,0,143872
24,1,2002,186094,4120,230,0,181744
25,1,2002,137906,3400,240,0,134266
26,1,2002,185338,2760,240,0,182338
27,1,2002,176458,2680,250,0,173528
28,1,2002,192325,3860,260,0,188205
29,1,2002,144429,3710,270,0,140449
30,1,2002,163523,3650,280,0,159593
31,1,2002,144338,4170,270,0,139898
1,2,2002,168861,4300,270,0,164291
2,2,2002,131751,3700,280,0,127771
3,2,2002,140733,3780,300,0,136653
4,2,2002,164477,4400,280,0,159797
5,2,2002,186724,3940,290,0,182494
6,2,2002,139616,3320,290,0,136006
7,2,2002,175055,3140,330,0,171585
8,2,2002,151953,2820,290,0,148843
9,2,2002,157943,2210,300,0,155433
10,2,2002,137419,3300,320,0,133799
11,2,2002,204374,3440,310,0,200624
12,2,2002,143256,4030,320,0,138906
13,2,2002,164293,5020,300,0,158973
14,2,2002,144029,3680,290,0,140059
15,2,2002,198318,3590,290,0,194438
16,2,2002,108186,3510,350,0,104326
17,2,2002,148794,3600,330,0,144864
18,2,2002,182736,3030,300,0,179406
19,2,2002,137915,2620,310,0,134985
20,2,2002,167393,3350,330,0,163713
21,2,2002,156977,4030,330,0,152617
22,2,2002,156405,3530,270,0,152605
23,2,2002,132140,2330,390,0,129420
24,2,2002,152093,2360,330,0,149403
25,2,2002,182515,4110,340,0,178065
26,2,2002,142512,3820,340,0,138352
27,2,2002,167327,5940,340,0,161047
28,2,2002,161295,5250,350,0,155695
1,3,2002,148844,4540,330,0,143974
2,3,2002,161010,3250,330,0,157430
3,3,2002,134183,4090,340,0,129753
4,3,2002,178126,4950,330,0,172846
5,3,2002,152107,3900,340,0,147867
6,3,2002,162879,3740,330,0,158809
7,3,2002,183533,4110,360,0,179063
8,3,2002,139780,2090,310,0,137380
9,3,2002,149964,3070,320,0,146574
10,3,2002,136198,2870,380,0,132948
11,3,2002,177152,3280,300,0,173572
12,3,2002,147593,3400,380,0,143813
13,3,2002,173865,2690,290,0,170885
14,3,2002,161692,2370,310,0,159012
15,3,2002,167329,3070,340,0,163919
16,3,2002,121689,2870,350,0,118469
17,3,2002,82990,1960,340,0,80690
18,3,2002,65362,1740,340,0,63282
19,3,2002,83021,1610,350,0,81061
20,3,2002,61638,2100,350,0,59188
21,3,2002,62698,3470,340,0,58888
22,3,2002,80271,3200,330,0,76741
23,3,2002,71366,2080,350,0,68936
24,3,2002,72102,4140,410,0,67552
25,3,2002,42194,2760,290,0,39144
26,3,2002,50504,3440,280,0,46784
27,3,2002,23762,2170,320,0,21272
28,3,2002,52123,1820,280,0,50023
29,3,2002,56580,1920,280,0,54380
30,3,2002,33391,1220,320,0,31851
31,3,2002,112950,1590,340,0,111020
1,4,2002,142381,2390,350,0,139641
2,4,2002,149080,2300,360,0,146420
3,4,2002,150225,3140,340,0,146745
4,4,2002,131991,3450,390,0,128151
5,4,2002,139269,2740,370,0,136159
6,4,2002,157444,2540,280,0,154624
7,4,2002,101109,1450,340,0,99319
8,4,2002,164061,1840,280,0,161941
9,4,2002,148046,2810,230,0,145006
10,4,2002,160585,1300,350,0,158935
11,4,2002,153658,1460,930,0,151268
12,4,2002,140963,1340,250,0,139373
13,4,2002,141093,1120,210,0,139763
14,4,2002,141993,950,230,0,140813
15,4,2002,251562,1040,2490,0,248032
16,4,2002,336018,1070,710,0,334238
17,4,2002,216618,1350,140,0,215128
18,4,2002,200243,1700,140,0,198403
19,4,2002,152106,2950,140,0,149016
20,4,2002,137922,2370,110,0,135442
21,4,2002,159857,1820,90,0,157947
22,4,2002,177714,2050,90,0,175574
23,4,2002,151531,1330,130,0,150071
24,4,2002,168947,1830,130,0,166987
25,4,2002,168394,7600,120,0,160674
26,4,2002,169478,3240,100,0,166138
27,4,2002,156062,2510,100,0,153452
28,4,2002,125346,1970,110,0,123266
29,4,2002,163283,2040,120,0,161123
30,4,2002,159317,1890,120,0,157307
1,5,2002,171444,2360,120,0,168964
2,5,2002,155589,2980,140,0,152469
3,5,2002,163313,2500,150,0,160663
4,5,2002,191588,1560,190,0,189838
5,5,2002,152349,1420,150,0,150779
6,5,2002,150061,1080,370,0,148611
7,5,2002,139856,1480,270,0,138106
8,5,2002,160625,960,330,0,159335
9,5,2002,157806,3270,330,0,154206
10,5,2002,171354,2510,360,0,168484
11,5,2002,131707,1260,380,0,130067
12,5,2002,142047,1370,380,0,140297
13,5,2002,188757,1370,350,0,187037
14,5,2002,145819,1700,370,0,143749
15,5,2002,161246,1330,420,0,159496
16,5,2002,166609,2260,300,0,164049
17,5,2002,204172,3000,200,0,200972
18,5,2002,94851,2870,100,0,91881
19,5,2002,131542,2480,160,0,128902
20,5,2002,201971,2990,140,0,198841
21,5,2002,174363,2730,140,0,171493
22,5,2002,153593,1540,170,0,151883
23,5,2002,190400,1230,130,0,189040
24,5,2002,143198,2460,130,0,140608
25,5,2002,150338,1610,140,0,148588
26,5,2002,162109,1230,150,0,160729
27,5,2002,158434,1150,180,0,157104
28,5,2002,192095,1180,180,0,190735
29,5,2002,188372,1160,190,0,187022
30,5,2002,239836,1110,170,0,238556
31,5,2002,213210,1087,220,0,211903
1,6,2002,156518,1140,150,0,155228
2,6,2002,160019,900,140,0,158979
3,6,2002,181144,900,200,0,180044
4,6,2002,144200,1000,210,0,142990
5,6,2002,177466,940,250,0,176276
6,6,2002,173109,1020,200,0,171889
7,6,2002,196669,970,180,0,195519
8,6,2002,157035,1030,180,0,155825
9,6,2002,136899,920,160,0,135819
10,6,2002,159518,880,140,0,158498
11,6,2002,141153,2000,160,0,138993
12,6,2002,120971,2160,170,0,118641
13,6,2002,108218,2030,160,0,106028
14,6,2002,108829,1360,160,0,107309
15,6,2002,130127,790,120,0,129217
16,6,2002,57558,830,110,0,56618
17,6,2002,64443,860,110,0,63473
18,6,2002,92393,890,140,0,91363
19,6,2002,89271,1250,90,0,87931
20,6,2002,102466,1050,110,0,101306
21,6,2002,127932,1090,210,0,126632
22,6,2002,180979,1180,70,0,179729
23,6,2002,103137,1180,50,0,101907
24,6,2002,111962,1370,60,0,110532
25,6,2002,128058,2660,50,0,125348
26,6,2002,117336,2120,60,0,115156
27,6,2002,110672,1290,70,0,109312
28,6,2002,116914,1220,50,0,115644
29,6,2002,64540,1130,70,0,63340
30,6,2002,73997,1020,50,0,72927
1,7,2002,130789,1190,60,0,129539
2,7,2002,82169,1290,50,0,80829
3,7,2002,93172,1210,90,0,91872
4,7,2002,51970,2130,70,0,49770
5,7,2002,91495,1420,90,0,89985
6,7,2002,76293,960,80,0,75253
7,7,2002,70772,960,90,0,69722
8,7,2002,140819,980,80,0,139759
9,7,2002,130941,890,100,0,129951
10,7,2002,93446,940,110,0,92396
11,7,2002,103242,1100,90,0,102052
12,7,2002,72912,1250,120,0,71542
13,7,2002,67111,1130,100,0,65881
14,7,2002,51017,1060,120,0,49837
15,7,2002,98777,1120,100,0,97557
16,7,2002,154911,1190,110,0,153611
17,7,2002,155143,1050,70,0,154023
18,7,2002,126847,1200,120,0,125527
19,7,2002,118245,1830,100,0,116315
20,7,2002,85382,1610,110,0,83662
21,7,2002,83846,1260,110,0,82476
22,7,2002,96522,1200,130,0,95192
23,7,2002,117942,1010,120,0,116812
24,7,2002,52400,1050,140,0,51210
25,7,2002,76428,1110,100,0,75218
26,7,2002,108347,1010,80,0,107257
27,7,2002,56516,1080,90,0,55346
28,7,2002,93418,1050,100,0,92268
29,7,2002,121585,1720,100,0,119765
30,7,2002,122427,1790,100,0,120537
31,7,2002,71175,1700,160,0,69315
1,8,2002,87865,1380,150,0,86335
2,8,2002,118595,1120,190,0,117285
3,8,2002,8536,1080,180,0,7276
4,8,2002,50251,1110,130,0,49011
5,8,2002,85457,1130,120,0,84207
6,8,2002,69164,1080,180,0,67904
7,8,2002,69870,1300,180,0,68390
8,8,2002,56032,1090,190,0,54752
9,8,2002,91686,1090,190,0,90406
10,8,2002,46019,770,160,0,45089
11,8,2002,78668,0,130,0,78538
12,8,2002,35247,0,180,0,35067
13,8,2002,55326,0,190,0,55136
14,8,2002,50250,0,180,0,50070
15,8,2002,59208,0,220,0,58988
16,8,2002,80213,4530,250,0,75433
17,8,2002,29161,1270,180,0,27711
18,8,2002,42888,1230,200,0,41458
19,8,2002,71518,1180,200,0,70138
20,8,2002,70853,1280,220,0,69353
21,8,2002,96689,1310,230,0,95149
22,8,2002,101975,1090,270,0,100615
23,8,2002,97168,1310,230,0,95628
24,8,2002,65248,1100,240,0,63908
25,8,2002,64081,1230,190,0,62661
26,8,2002,86620,1200,280,0,85140
27,8,2002,107629,1300,220,0,106109
28,8,2002,102053,1530,200,0,100323
29,8,2002,101613,1510,190,0,99913
30,8,2002,74289,1960,210,0,72119
31,8,2002,88624,2020,230,0,86374
1,9,2002,90057,1430,220,0,88407
2,9,2002,71138,1240,210,0,69688
3,9,2002,104246,1330,230,0,102686
4,9,2002,113107,1320,200,0,111587
5,9,2002,98292,1310,160,0,96822
6,9,2002,130555,1160,130,0,129265
7,9,2002,70833,1270,120,0,69443
8,9,2002,98856,1270,160,0,97426
9,9,2002,140913,1490,170,0,139253
10,9,2002,108398,1460,120,0,106818
11,9,2002,139039,1490,140,0,137409
12,9,2002,114078,1330,140,0,112608
13,9,2002,159600,1450,100,0,158050
14,9,2002,122600,1350,110,0,121140
15,9,2002,90800,1410,130,0,89260
16,9,2002,158500,1380,130,0,156990
17,9,2002,190400,1550,130,0,188720
18,9,2002,150287,1340,120,0,148827
19,9,2002,162674,1301,120,0,161253
20,9,2002,140219,1399,110,0,138710
21,9,2002,135208,2210,100,0,132898
22,9,2002,111608,1720,140,0,109748
23,9,2002,170146,1750,190,0,168206
24,9,2002,138258,4400,130,0,133728
25,9,2002,145800,1430,130,0,144240
26,9,2002,144317,1700,130,0,142487
27,9,2002,136899,1520,170,0,135209
28,9,2002,110967,1480,260,0,109227
29,9,2002,136857,1300,260,0,135297
30,9,2002,181193,1890,330,0,178973
1,10,2002,168423,1490,240,0,166693
2,10,2002,170440,1810,250,0,168380
3,10,2002,129855,1340,290,0,128225
4,10,2002,162319,1700,280,0,160339
5,10,2002,162711,2560,280,0,159871
6,10,2002,92991,1750,260,0,90981
7,10,2002,56793,2130,310,0,54353
8,10,2002,35228,1680,110,0,33438
9,10,2002,150739,2360,190,0,148189
10,10,2002,146168,1510,990,0,143668
11,10,2002,152536,1860,2100,0,148576
12,10,2002,83560,2110,550,0,80900
13,10,2002,132250,2640,180,0,129430
14,10,2002,128790,2500,250,0,126040
15,10,2002,143462,2930,200,0,140332
16,10,2002,187487,3320,260,0,183907
17,10,2002,106820,2810,120,0,103890
18,10,2002,137858,2690,150,0,135018
19,10,2002,118601,2870,220,0,115511
20,10,2002,116609,3290,240,0,113079
21,10,2002,148874,2810,240,0,145824
22,10,2002,136554,3100,240,0,133214
23,10,2002,159467,3250,170,0,156047
24,10,2002,137884,2570,190,0,135124
25,10,2002,134876,2090,200,0,132586
26,10,2002,119686,2340,180,0,117166
27,10,2002,124044,2400,180,0,121464
28,10,2002,131083,2080,160,0,128843
29,10,2002,156448,2370,160,0,153918
30,10,2002,139530,2470,240,0,136820
31,10,2002,138209,3070,220,0,134919
1,11,2002,149426,3180,280,0,145966
2,11,2002,106375,2620,260,0,103495
3,11,2002,117575,2440,230,0,114905
4,11,2002,135261,2920,260,0,132081
5,11,2002,137543,2620,300,0,134623
6,11,2002,140196,2450,290,0,137456
7,11,2002,140774,3300,280,0,137194
8,11,2002,138408,2890,330,0,135188
9,11,2002,129904,2330,310,0,127264
10,11,2002,121887,2140,280,0,119467
11,11,2002,121868,6650,300,0,114918
12,11,2002,157169,3020,340,0,153809
13,11,2002,146505,3230,320,0,142955
14,11,2002,131852,3310,356,0,128186
15,11,2002,144907,3630,364,0,140913
16,11,2002,143457,3530,270,0,139657
17,11,2002,80710,3160,310,0,77240
18,11,2002,164740,2990,380,0,161370
19,11,2002,125647,3280,300,0,122067
20,11,2002,125647,3000,350,0,122297
21,11,2002,129412,3110,310,0,125992
22,11,2002,132691,3270,410,0,129011
23,11,2002,121530,2940,410,0,118180
24,11,2002,114700,3270,420,0,111010
25,11,2002,128007,3480,430,0,124097
26,11,2002,63650,3270,400,0,59980
27,11,2002,42182,3170,310,0,38702
28,11,2002,3121,1830,300,0,991
29,11,2002,16831,1740,270,0,14821
30,11,2002,17174,2720,340,0,14114
1,12,2002,45877,2280,330,0,43267
2,12,2002,15471,3140,350,0,11981
3,12,2002,38196,3090,350,0,34756
4,12,2002,42387,2660,330,0,39397
