STEAM PLANT PRODUCTION							
January-02							
							
DAY	GAS      (MCF)	STEAM        (K LB/HR)	OIL          (GAL)	MAKE-UP WATER (GAL)	DOMESTIC WATER  (GAL)	LOOP    (GAL)	TOWER (GAL)
23	169	145	0	"1,180"	"103,137"	50	"34,540"
24	168	146	0	"1,370"	"111,962"	60	"40,730"
25	170	147	0	"2,660"	"128,058"	50	"45,410"
26	168	145	0	"2,120"	"117,336"	60	"39,790"
27	169	148	0	"1,290"	"110,672"	70	"41,460"
28	162	141	0	"1,220"	"116,914"	50	"40,580"
29	148	131	0	"1,130"	"64,540"	70	"43,080"
30	137	119	0	"1,020"	"73,997"	50	"37,500"
							
TOTAL	"5,790"	"5,063"	0	"37,180"	"3,793,533"	"3,880"	"901,690"


July-02							

							
DAY	GAS      (MCF)	STEAM        (K LB/HR)	OIL          (GAL)	MAKE-UP WATER (GAL)	DOMESTIC WATER  (GAL)	LOOP    (GAL)	TOWER (GAL)
1	138	119	0	"1,190"	"130,789"	60	"51,020"
2	130	113	0	"1,290"	"82,169"	50	"38,850"
3	134	117	0	"1,210"	"93,172"	90	"41,670"
4	132	115	0	"2,130"	"51,970"	70	"27,660"
5	133	116	0	"1,420"	"91,495"	90	"38,000"
6	129	113	0	960	"76,293"	80	"40,840"
7	129	114	0	960	"70,772"	90	"41,100"
8	135	117	0	980	"140,819"	80	"47,160"
9	148	129	0	890	"130,941"	100	"44,100"
10	160	143	0	940	"93,446"	110	"30,990"
11	163	145	0	"1,100"	"103,242"	90	"27,320"
12	160	142	0	"1,250"	"72,912"	120	"28,980"
13	156	138	0	"1,130"	"67,111"	100	"28,810"
14	155	137	0	"1,060"	"51,017"	120	"30,530"
15	159	140	0	"1,120"	"98,777"	100	"37,190"
16	157	138	0	"1,190"	"154,911"	110	"42,950"
17	161	142	0	"1,050"	"155,143"	70	"47,070"
18	158	139	0	"1,200"	"126,847"	120	"39,370"
19	161	141	0	"1,830"	"118,245"	100	"41,870"
20	150	131	0	"1,610"	"85,382"	110	"41,600"
21	146	128	0	"1,260"	"83,846"	110	"46,550"
22	162	143	0	"1,200"	"96,522"	130	"36,920"
23	169	151	0	"1,010"	"117,942"	120	"26,290"
24	161	144	0	"1,050"	"52,400"	140	"27,040"
25	163	144	0	"1,110"	"76,428"	100	"34,050"
26	154	133	0	"1,010"	"108,347"	80	"41,760"
27	146	129	0	"1,080"	"56,516"	90	"36,860"
28	159	140	0	"1,050"	"93,418"	100	"35,140"
29	174	153	0	"1,720"	"121,585"	100	"42,900"
30	155	136	0	"1,790"	"122,427"	100	"43,070"
31	148	128	0	"1,700"	"71,175"	160	"45,140"
TOTAL	"4,685"	"4,118"	0	"38,490"	"2,996,059"	"3,090"	"1,182,800"


August-02							

							
DAY	GAS      (MCF)	STEAM        (K LB/HR)	OIL          (GAL)	MAKE-UP WATER (GAL)	DOMESTIC WATER  (GAL)	LOOP    (GAL)	TOWER (GAL)
1	152	134	0	"1,380"	"87,865"	150	"35,400"
2	164	144	0	"1,120"	"118,595"	190	"25,260"
3	152	135	0	"1,080"	"8,536"	180	"26,940"
4	150	132	0	"1,110"	"50,251"	130	"31,030"
5	155	138	0	"1,130"	"85,457"	120	"33,630"
6	159	143	0	"1,080"	"69,164"	180	"21,630"
7	166	147	0	"1,300"	"69,870"	180	"28,190"
8	160	141	0	"1,090"	"56,032"	190	"30,060"
9	150	133	0	"1,090"	"91,686"	190	"30,800"
10	74	70	0	770	"46,019"	160	"26,380"
11	0	56	0	0	"78,668"	130	"31,580"
12	0	0	0	0	"35,247"	180	"17,390"
13	0	0	0	0	"55,326"	190	"14,990"
14	0	0	0	0	"50,250"	180	"20,640"
15	0	0	0	0	"59,208"	220	"23,620"
16	126	112	0	"4,530"	"80,213"	250	"23,310"
17	176	156	0	"1,270"	"29,161"	180	"15,940"
18	172	153	0	"1,230"	"42,888"	200	"15,850"
19	172	154	0	"1,180"	"71,518"	200	"18,300"
20	180	160	0	"1,280"	"70,853"	220	"23,680"
21	177	157	0	"1,310"	"96,689"	230	"28,040"
22	179	159	0	"1,090"	"101,975"	270	"29,120"
23	184	163	0	"1,310"	"97,168"	230	"29,740"
24	169	150	0	"1,100"	"65,248"	240	"29,800"
25	177	157	0	"1,230"	"64,081"	190	"28,030"
26	174	154	0	"1,200"	"86,620"	280	"33,720"
27	189	169	0	"1,300"	"107,629"	220	"32,550"
28	184	163	0	"1,530"	"102,053"	200	"35,380"
29	185	164	0	"1,510"	"101,613"	190	"34,370"
30	185	163	0	"1,960"	"74,289"	210	"32,540"
31	174	155	0	"2,020"	"88,624"	230	"31,380"
TOTAL	"4,285"	"3,862"	0	"36,200"	"2,242,796"	"6,110"	"839,290"


September-02							

							
DAY	GAS      (MCF)	STEAM        (K LB/HR)	OIL          (GAL)	MAKE-UP WATER (GAL)	DOMESTIC WATER  (GAL)	LOOP    (GAL)	TOWER (GAL)
1	166	146		"1,430"	"90,057"	220	"31,380"
2	168	148		"1,240"	"71,138"	210	"35,500"
3	187	166		"1,330"	"104,246"	230	"24,640"
4	180	160		1320	"113,107"	200	"30,740"
5	179	159		"1,310"	"98,292"	160	"34,640"
6	177	156		"1,160"	"130,555"	130	"37,020"
7	164	145		"1,270"	"70,833"	120	"31,730"
8	165	145		"1,270"	"98,856"	160	"34,690"
9	172	152		"1,490"	"140,913"	170	"44,920"
10	180	161		"1,460"	"108,398"	120	"28,650"
11	185	166		"1,490"	"139,039"	140	"23,430"
12	192	172		"1,330"	"114,078"	140	"26,760"
13	183	163		"1,450"	"159,600"	100	"23,090"
14	191	172		"1,350"	"122,600"	110	"18,310"
15	215	193		"1,410"	"90,800"	130	"11,870"
16	210	187		"1,380"	"158,500"	130	"22,130"
17	209	186		"1,550"	"190,400"	130	"23,590"
18	208	183		"1,340"	"150,287"	120	"26,970"
19	210	189		"1,301"	"162,674"	120	"23,780"
20	213	191		"1,399"	"140,219"	110	"20,880"
21	221	197		"2,210"	"135,208"	100	"12,520"
22	263	236		"1,720"	"111,608"	140	"5,930"
23	314	280		"1,750"	"170,146"	190	"6,730"
24	333	296		"4,400"	"138,258"	130	"6,960"
25	299	267		"1,430"	"145,800"	130	"5,230"
26	367	326		"1,700"	"144,317"	130	"4,750"
27	342	306		"1,520"	"136,899"	170	"8,070"
28	317	283		"1,480"	"110,967"	260	"5,700"
29	258	231		"1,300"	"136,857"	260	"9,450"
30	241	214		"1,890"	"181,193"	330	"28,950"
31							
TOTAL	"6,709"	"5,976"	0	"46,680"	"3,865,845"	"4,790"	"649,010"


October-02							

							
DAY	GAS      (MCF)	STEAM        (K LB/HR)	OIL          (GAL)	MAKE-UP WATER (GAL)	DOMESTIC WATER  (GAL)	LOOP    (GAL)	TOWER (GAL)
1	246	219	0	"1,490"	"168,423"	240	"16,290"
2	348	310	0	"1,810"	"170,440"	250	"6,160"
3	330	292	0	"1,340"	"129,855"	290	"5,790"
4	337	297	0	"1,700"	"162,319"	280	"5,910"
5	354	313	0	"2,560"	"162,711"	280	"4,970"
6	370	328	0	"1,750"	"92,991"	260	"4,470"
7	443	392	0	"2,130"	"56,793"	310	"1,460"
8	347	304	0	"1,680"	"35,228"	110	0
9	396	340	0	"2,360"	"150,739"	190	0
10	302	265	0	"1,510"	"146,168"	990	0
11	249	218	0	"1,860"	"152,536"	"2,100"	0
12	298	264	0	"2,110"	"83,560"	550	0
13	408	364	0	"2,640"	"132,250"	180	0
14	343	303	0	"2,500"	"128,790"	250	0
15	417	370	0	"2,930"	"143,462"	200	0
16	325	112	0	"3,320"	"187,487"	260	0
17	458	347	0	"2,810"	"106,820"	120	0
18	426	355	0	"2,690"	"137,858"	150	0
19	466	385	0	"2,870"	"118,601"	220	0
20	486	401	0	"3,290"	"116,609"	240	0
21	531	433	0	"2,810"	"148,874"	240	0
22	555	454	0	"3,100"	"136,554"	240	0
23	538	444	0	"3,250"	"159,467"	170	0
24	505	439	0	"2,570"	"137,884"	190	0
25	448	391	0	"2,090"	"134,876"	200	0
26	428	372	0	"2,340"	"119,686"	180	0
27	470	411	0	"2,400"	"124,044"	180	
28	450	397	0	"2,080"	"131,083"	160	0
29	429	376	0	"2,370"	"156,448"	160	0
30	445	401	0	"2,470"	"139,530"	240	0
31	540	485	0	"3,070"	"138,209"	220	0
TOTAL	"12,688"	"10,782"	0	"73,900"	"4,110,295"	"9,650"	"45,050"


November-02							

							
DAY	GAS      (MCF)	STEAM        (K LB/HR)	OIL          (GAL)	MAKE-UP WATER (GAL)	DOMESTIC WATER  (GAL)	LOOP    (GAL)	TOWER (GAL)
1	491	488	0	"3,180"	"149,426"	280	0
2	476	430	0	"2,620"	"106,375"	260	0
3	460	410	0	"2,440"	"117,575"	230	0
4	502	449	0	"2,920"	"135,261"	260	0
5	487	434	0	"2,620"	"137,543"	300	0
6	460	410	0	"2,450"	"140,196"	290	0
7	383	327	0	"3,300"	"140,774"	280	0
8	385	325	0	"2,890"	"138,408"	330	0
9	346	286	0	"2,330"	"129,904"	310	0
10	415	358	0	"2,140"	"121,887"	280	0
11	497	443	0	"6,650"	"121,868"	300	0
12	483	447	0	"3,020"	"157,169"	340	0
13	497	422	0	"3,230"	"146,505"	320	0
14	551	467	0	"3,310"	"131,852"	356	0
15	621	526	0	"3,630"	"144,907"	364	0
16	576	492	0	"3,530"	"143,457"	270	0
17	552	471	0	"3,160"	"80,710"	310	0
18	535	457	0	"2,990"	"164,740"	380	0
19	473	406	0	"3,280"	"125,647"	300	0
20	473	403	0	"3,000"	"125,647"	350	0
21	499	477	0	"3,110"	"129,412"	310	0
22	547	463	0	"3,270"	"132,691"	410	0
23	504	434	0	"2,940"	"121,530"	410	0
24	585	505	0	"3,270"	"114,700"	420	0
25	649	558	0	"3,480"	"128,007"	430	0
26	597	519	0	"3,270"	"63,650"	400	0
27	546	473	0	"3,170"	"42,182"	310	0
28	445	386	0	"1,830"	"3,121"	300	0
29	403	354	0	"1,740"	"16,831"	270	0
30	513	447	0	"2,720"	"17,174"	340	0
							
TOTAL	"14,951"	"13,067"	0	"91,490"	"3,429,149"	"9,710"	0

December-02							

							
DAY	GAS      (MCF)	STEAM        (K LB/HR)	OIL          (GAL)	MAKE-UP WATER (GAL)	DOMESTIC WATER  (GAL)	LOOP    (GAL)	TOWER (GAL)
1	465	405	0	"2,280"	"45,877"	330	0
2	598	518	0	"3,140"	"15,471"	350	0
3	552	541	465	"3,090"	"38,196"	350	0
4	591	514	0	"2,660"	"42,387"	330	0
5	659	568	0	"3,320"	"33,378"	330	0
6	556	481	0	"2,900"	"29,806"	320	0
7	493	428	0	"2,320"	"37,011"	320	0
8	561	490	0	"2,460"	"53,601"	320	0
9	557	484	0	"2,790"	"5,142"	320	0
10	476	416	0	"1,950"	"37,778"	330	0
11	479	415	0	"1,840"	"31,697"	360	0
12	487	406	0	"1,970"	"56,820"	370	0
13	486	424	0	"2,040"	"22,675"	400	0
14	416	359	0	"1,760"	"28,189"	360	0
15	415	362	0	"1,550"	"26,392"	380	0
16	527	458	0	"2,890"	"50,071"	400	0
17	484	421	0	"2,220"	"17,203"	360	0
18	466	403	0	"1,560"	"70,401"	440	0
19	434	373	0	"2,360"	"6,755"	330	0
20	536	461	0	"3,040"	"51,516"	410	0
21	496	430	0	"2,170"	"24,724"	390	0
22	571	452	0	"2,190"	"9,646"	390	0
23	530	504	0	"2,390"	"47,506"	420	0
24	604	523	0	"4,160"	"36,115"	380	0
25	580	504	0	170	"13,777"	390	0
26	593	514	0	"2,570"	"33,004"	390	0
27	532	461	0	"2,430"	"19,080"	380	0
28	463	405	0	"1,920"	"31,907"	380	0
29	437	382	0	"1,620"	"27,222"	370	0
30	488	418	0	"2,490"	"26,944"	390	0
31	565	489	0	"2,780"	"38,248"	420	0
TOTAL	"16,097"	"14,009"	465	"73,030"	"1,008,539"	"11,410"	0
